Game,Price,Paid,Savings,Compatibility,
Sound Shapes,€14.99,€3.99,€11.00,PS3 and VITA,
South Park: The Fractured But Whole,€96.94,€57.94,€39.00,,
South Park: The Stick of Truth,€0.00,€0.00,€0.00,,
Spacebase Startopia,€49.99,€29.99,€20.00,,
Spirit of the North: Enhanced Edition,€24.99,€12.49,€12.50,,
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,€29.99,€17.99,€12.00,,
Spy Chameleon,€4.99,€1.99,€3.00,VITA,
Spyro Reignited Trilogy,€39.99,€39.99,€0.00,,
Star Wars Episode I: Racer,€14.99,€9.74,€5.25,,
Star Wars Jedi: Fallen Order,€49.99,€17.49,€32.50,,
Stealth Inc: A Clone In The Dark,€8.49,€2.49,€6.00,PS3 and VITA,
Stealth Inc 2: A Game Of Clones,€8.49,€2.49,€6.00,PS3 and VITA,
SteamWorld Dig,€8.99,€1.99,€7.00,VITA,
SteamWorld Dig 2,€19.99,€4.99,€15.00,,
SteamWorld Heist,€14.99,€9.99,€5.00,VITA,
Stikbold! A Dodgeball Adventure,€9.99,€4.49,€5.50,,
Stranded Deep,€19.99,€0.00,€19.99,,
Street Fighter 30th Anniversary Collection,€39.99,€14.79,€25.20,,
Subnautica,€29.99,€0.00,€29.99,,
Sumatra: Fate of Yandi,€5.99,€4.19,€1.80,,
Super Kickers League Ultimate,€19.99,€5.99,€14.00,,
Super Meat Boy!,€15.99,€5.59,€10.40,VITA,
Super Stardust Ultra,€32.98,€17.98,€15.00,VR,
Superbeat: Xonic EX,€49.98,€12.98,€37.00,VITA,
Supermarket Shriek,€19.99,€11.99,€8.00,,
Surgeon Simulator,€30.98,€24.98,€6.00,VR,
Switch Galaxy Ultra,€10.99,€3.99,€7.00,VITA,
Syrup and the Ultimate Sweet,€4.99,€4.99,€0.00,VITA,
Table Top Racing: World Tour,€12.98,€12.98,€0.00,,
Tales From The Borderlands TTG,€29.98,€29.98,€0.00,PS3,
Team Sonic Racing,€39.99,€0.00,€39.99,,
Tearaway Unfolded,€19.99,€11.99,€8.00,,
Tekken 7,€74.98,€29.98,€45.00,VR,
Tembo The Badass Elephant,€12.99,€3.49,€9.50,,
